Tabela 23a,,,,,,,,,,,,
173," 1,436 "," 2,461 "," 4,437 "," 4,701 ", 309 , -   , -   ," 14,709 ", -   , 746 , 200 ," 28,998 "
174, -   , 560 ," 2,825 "," 11,658 "," 1,099 ", -   , -   ," 37,004 ", -   ," 1,215 ", -   ," 54,361 "
175, -   , 99 ," 2,851 "," 2,660 ", 226 , 586 , 107 ," 17,057 ", 91 , 166 , 175 ," 24,018 "
176," 1,011 "," 2,862 "," 5,188 "," 13,770 "," 1,340 ", 252 ," 1,354 "," 25,417 ", -   , 845 , -   ," 52,039 "
177, -   ," 1,194 ", 685 ," 1,341 ", -   , 520 ," 1,373 "," 13,879 ", -   , -   , -   ," 18,992 "
178, 583 , -   , 177 ," 7,995 ", -   , -   , -   , -   , -   , -   , -   ," 8,754 "
179, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
180," 4,356 "," 2,172 "," 4,544 "," 19,577 "," 2,151 "," 1,799 ", 562 ," 64,584 ", -   , 850 , 456 ," 101,051 "
181," 1,275 "," 4,551 "," 7,842 "," 15,282 "," 1,530 "," 2,257 "," 1,264 "," 36,004 ", -   ," 1,273 ", -   ," 71,280 "
182," 1,569 "," 3,789 "," 3,966 "," 13,872 ", 662 , 812 , 382 ," 44,393 ", -   ," 1,422 ", 612 ," 71,478 "
183, -   , 417 ," 5,839 "," 7,213 ", -   ," 1,001 ", 649 ," 41,920 ", -   , -   , -   ," 57,038 "
184, 186 ," 1,866 "," 2,525 "," 4,436 ", -   , -   , 25 ," 20,693 ", -   , -   , -   ," 29,730 "
185, 268 ," 2,147 "," 1,565 "," 14,357 ", 927 , 77 , -   ," 22,795 ", -   , 155 , -   ," 42,291 "
186, -   , 83 ," 2,061 "," 2,477 ", 437 , 123 , 651 ," 9,663 ", -   ," 1,323 ", -   ," 16,818 "
187, -   , 568 ," 4,581 "," 16,907 ", 889 , 353 , 33 ," 51,983 ", -   , -   , -   ," 75,314 "
188, 258 , 587 ," 6,706 "," 31,853 "," 1,022 "," 1,255 ", 355 ," 30,581 ", -   , 791 , 97 ," 73,505 "
189," 1,686 "," 1,371 "," 8,182 "," 15,638 ", 364 ," 1,794 "," 3,845 "," 41,546 ", -   , 206 , 469 ," 75,102 "
190," 1,795 "," 4,833 "," 14,008 "," 7,026 "," 1,272 "," 4,140 "," 3,322 "," 26,270 ", -   ," 2,454 ", 246 ," 65,366 "
191, 418 ," 3,381 "," 11,971 "," 7,965 ", 270 , -   ," 5,294 ", -   , 791 ," 4,918 ", -   ," 35,008 "
192, 133 ," 1,497 "," 5,783 "," 8,100 ", 585 , 153 , 537 ," 31,059 ", -   ," 1,985 ", 944 ," 50,777 "
193, 596 , 113 ," 3,337 "," 1,550 "," 2,006 ", 221 , 500 ," 15,552 ", -   , 592 , -   ," 24,468 "
194, -   ," 2,388 "," 2,524 "," 6,991 ", 213 , -   , 150 ," 18,600 ", -   , 599 , -   ," 31,466 "
195, 930 ," 4,486 "," 5,263 "," 8,590 "," 1,229 ", 472 , -   ," 33,963 ", -   ," 1,001 ", -   ," 55,934 "
196, 550 ," 1,369 "," 3,047 "," 15,396 "," 1,055 ", -   , 85 ," 34,319 ", -   , 183 , -   ," 56,003 "
197, 872 ," 2,845 "," 6,176 "," 14,627 ", 494 , 154 , 444 ," 16,350 ", -   ," 1,915 ", 237 ," 44,114 "
198," 1,464 "," 4,047 "," 22,039 "," 9,171 "," 5,330 "," 9,885 "," 2,748 "," 27,828 ", 128 ," 4,433 ", 447 ," 87,519 "
199, 872 ," 1,850 "," 7,436 "," 40,624 "," 1,453 ", 89 , 189 ," 83,394 ", -   ," 1,118 ", -   ," 137,025 "
200, 417 , -   ," 2,386 "," 9,194 ", 437 , 329 , -   ," 35,275 ", -   , -   , 171 ," 48,208 "
201, -   ," 1,794 "," 6,999 "," 34,342 ", 347 , 872 ," 4,869 "," 53,801 ", 849 ," 2,494 ", -   ," 106,367 "
202, 712 ," 3,629 "," 6,521 "," 29,353 "," 3,107 "," 1,585 "," 1,496 "," 79,695 ", -   , 528 , -   ," 126,625 "
203, -   , 499 ," 4,169 "," 21,440 ", -   ," 1,023 ", -   ," 52,460 ", -   , -   , 211 ," 79,801 "
204," 1,685 "," 8,129 "," 13,539 "," 26,833 "," 3,430 ", 935 ," 1,298 "," 83,095 ", -   ," 1,429 ", 416 ," 140,788 "
205, 32 ," 5,013 "," 10,177 "," 33,497 ", -   , -   ," 1,056 "," 79,955 ", -   , 251 , -   ," 129,981 "
206, 997 ," 4,593 "," 11,559 "," 12,538 "," 1,345 ", 111 ," 1,369 "," 37,577 ", -   ," 2,690 ", 121 ," 72,900 "
207, 612 ," 2,987 "," 7,878 "," 49,508 "," 4,966 "," 2,169 ", 673 ," 76,788 ", -   , 557 , -   ," 146,138 "
208," 4,851 "," 5,689 "," 22,184 "," 7,934 ", 376 ," 1,402 ", 807 ," 34,830 ", 330 ," 2,291 ", 86 ," 80,778 "
209," 3,513 "," 5,068 "," 7,719 "," 9,572 "," 1,630 "," 1,281 ", 940 ," 38,564 ", -   , 560 , 141 ," 68,988 "
210," 2,060 "," 9,258 "," 12,069 "," 13,347 "," 2,302 "," 2,182 "," 1,418 "," 19,503 ", -   ," 1,171 ", -   ," 63,310 "
211," 1,401 "," 4,304 "," 12,080 "," 7,139 ", 157 , 418 , 197 ," 43,345 ", -   ," 2,263 ", -   ," 71,303 "
212, 880 ," 4,001 "," 5,977 "," 11,292 ", 602 , -   , 176 ," 32,458 ", -   , 206 , -   ," 55,592 "
213," 4,161 "," 6,727 "," 11,462 "," 9,343 "," 1,188 ", 271 , 41 ," 40,405 ", -   ," 1,158 ", 216 ," 74,972 "
214," 2,168 "," 2,377 "," 7,243 "," 8,480 ", -   , 87 , 435 ," 15,682 ", 250 ," 1,589 ", -   ," 38,312 "
215, 783 ," 2,772 "," 13,297 "," 7,990 ", 420 ," 2,113 ", 693 ," 29,434 ", -   ," 1,526 ", 655 ," 59,683 "
216," 1,529 "," 1,527 "," 5,894 "," 15,034 ", 807 , 504 , -   ," 32,454 ", -   ," 3,836 ", 329 ," 61,915 "
217, 622 ," 1,637 "," 3,212 "," 12,006 ", 141 , 532 , 78 ," 14,777 ", -   , 348 , -   ," 33,353 "
218," 1,564 "," 7,830 "," 6,528 "," 20,368 "," 5,019 ", 545 ," 2,361 "," 59,687 ", -   ," 4,028 ", 422 ," 108,352 "
219," 2,332 "," 1,313 "," 5,232 "," 15,056 ", 697 , -   , 554 ," 43,179 ", -   , 534 , 304 ," 69,201 "
220," 1,805 "," 1,783 "," 3,435 "," 5,786 ", 476 , 878 , -   ," 33,547 ", -   ," 2,188 ", -   ," 49,898 "
221," 3,109 "," 10,092 "," 6,034 "," 11,680 "," 5,418 "," 1,283 ", 882 ," 32,156 ", -   ," 2,653 ", -   ," 73,307 "
222," 1,015 "," 2,132 "," 5,598 "," 12,273 ", -   ," 2,668 "," 2,889 "," 42,187 ", -   ," 2,042 ", 835 ," 71,639 "
223, 574 ," 1,024 "," 7,639 "," 3,571 "," 3,727 ", 155 , 531 ," 25,883 ", -   ," 2,862 ", 736 ," 46,703 "
224, 275 , -   ," 1,470 "," 4,634 ", -   , -   ," 1,067 ", -   , -   , -   , -   ," 7,445 "
225," 2,862 "," 4,538 "," 7,600 "," 9,702 ", 891 , -   , 759 ," 33,547 ", -   , 577 , 406 ," 60,883 "
226," 1,048 "," 1,574 "," 9,064 "," 26,654 "," 1,780 "," 1,423 ", -   ," 69,136 ", -   ," 3,092 ", -   ," 113,772 "
227," 1,360 "," 4,201 "," 14,866 "," 14,885 "," 2,189 "," 1,147 ", 522 ," 54,782 ", -   ," 3,541 ", -   ," 97,492 "
228, 371 , -   ," 3,155 "," 13,643 ", 87 , -   , 359 ," 42,250 ", -   ," 3,709 ", 689 ," 64,263 "
229," 2,336 "," 2,899 "," 13,995 "," 57,447 "," 1,397 "," 3,610 "," 3,260 "," 120,768 ", -   ," 3,780 ", 341 ," 209,833 "
230, 579 ," 3,959 "," 5,067 "," 25,619 ", -   ," 3,018 "," 1,201 "," 54,811 ", -   ," 1,527 ", -   ," 95,781 "
231," 1,165 "," 1,967 "," 2,840 "," 5,384 "," 3,512 ", 292 , -   ," 32,779 ", -   , 709 , 131 ," 48,778 "
232," 1,018 ", -   ," 3,748 "," 20,466 ", 739 , 514 ," 1,825 "," 39,763 ", -   , -   , 369 ," 68,443 "
233, 633 ," 4,567 "," 6,506 "," 16,265 "," 1,154 ", 855 , -   ," 49,045 ", -   ," 2,950 ", -   ," 81,975 "
234, 320 , 592 ," 4,720 "," 16,956 "," 1,447 ", 545 , 628 ," 56,368 ", -   , 428 , -   ," 82,004 "
235," 2,809 "," 2,589 "," 7,588 "," 22,641 ", 278 , 602 ," 1,188 "," 48,569 ", -   , 64 , 25 ," 86,354 "
236," 2,542 "," 1,351 "," 8,786 "," 7,332 "," 1,315 "," 1,555 ", 152 ," 9,460 ", -   , 653 , 823 ," 33,969 "
237," 1,762 "," 9,063 "," 6,129 "," 3,117 "," 3,257 "," 2,044 "," 2,485 "," 9,013 ", 325 ," 2,351 "," 1,200 "," 40,746 "
238," 4,255 "," 1,290 "," 7,662 "," 2,819 ", 95 , 85 , 778 ," 14,092 ", -   , 762 , 526 ," 32,363 "
239, 635 ," 1,774 "," 16,487 "," 15,368 ", 870 ," 3,629 "," 1,485 "," 15,694 ", -   ," 1,813 "," 2,791 "," 60,546 "
240," 1,417 "," 2,235 "," 9,470 "," 3,539 ", 661 ," 2,298 "," 2,628 "," 18,505 ", -   , 591 , -   ," 41,343 "
241," 4,712 "," 4,159 "," 5,783 "," 1,507 "," 1,851 ", 790 , 886 ," 11,952 ", -   , 272 , -   ," 31,912 "
242," 4,235 "," 2,319 "," 5,300 "," 2,364 ", 419 ," 2,210 "," 1,811 "," 27,146 ", -   , 423 ," 1,644 "," 47,870 "
243," 7,292 "," 6,521 "," 17,355 "," 24,340 "," 2,224 ", 389 ," 1,639 "," 35,652 ", 548 ," 3,166 ", 870 ," 99,996 "
244, 189 ," 7,188 "," 7,386 "," 6,667 ", 806 ," 1,860 ", 648 ," 62,730 ", 189 ," 1,198 ", 730 ," 89,593 "
245, 701 , 766 ," 1,366 "," 3,999 "," 1,023 ", 497 , -   ," 17,535 ", -   , 37 , -   ," 25,924 "
246, 773 , 798 ," 2,672 "," 11,309 ", -   , 590 , -   ," 26,370 ", -   , 575 , 131 ," 43,218 "
247, 361 ," 4,785 "," 12,001 "," 17,985 "," 1,876 "," 1,575 "," 1,492 "," 64,466 ", -   , 801 , 235 ," 105,577 "
248, -   , -   ," 1,053 ", -   , -   , -   , 227 , -   , -   , -   , 215 ," 1,495 "
249," 2,155 "," 4,211 ", 943 ," 8,767 "," 1,503 ", 273 , 427 ," 32,999 ", -   , 517 ," 1,543 "," 53,338 "
250, 286 ," 3,798 "," 9,603 "," 2,462 "," 5,206 ", 323 ," 3,052 "," 17,409 ", -   ," 3,215 ", 205 ," 45,559 "
251, 236 ," 2,147 "," 4,103 "," 3,185 "," 1,471 ", 303 ," 1,209 "," 18,940 ", -   , 85 , -   ," 31,679 "
252, 389 , 776 ," 2,988 "," 6,073 "," 1,745 ", 533 , 416 ," 21,165 ", -   , 464 , 37 ," 34,586 "
253," 1,502 "," 2,425 "," 2,376 ", 81 ," 1,047 ", 948 , -   ," 4,425 ", -   , 272 , -   ," 13,076 "
254, 898 ," 8,220 "," 20,712 "," 27,985 "," 1,991 "," 2,035 "," 3,184 "," 34,475 ", -   ," 3,562 ", -   ," 103,063 "
255," 3,794 "," 4,773 "," 8,123 "," 17,065 "," 2,340 ", 837 ," 1,690 "," 50,256 ", -   ," 2,536 ", -   ," 91,414 "
256," 2,933 ", 277 ," 3,814 "," 6,966 "," 1,190 "," 1,459 ", 529 ," 30,214 ", 307 , 690 , -   ," 48,380 "
257," 3,746 "," 1,670 "," 2,414 "," 7,547 ", 756 , -   , 331 ," 34,633 ", -   , 491 , -   ," 51,588 "
258," 4,303 ", 809 ," 4,749 "," 15,635 ", 200 , 422 , 569 ," 52,285 ", -   ," 2,868 ", 236 ," 82,076 "
259, -   ," 1,559 "," 1,228 "," 4,063 ", -   , -   , -   ," 28,134 ", -   , 528 , -   ," 35,513 "
260, 237 , 709 ," 3,443 "," 8,459 ", 839 , 863 ," 2,192 "," 47,012 ", -   , 417 , -   ," 64,171 "
261," 2,078 "," 5,366 "," 8,840 "," 14,397 "," 1,574 "," 1,876 "," 3,992 "," 45,253 ", 568 , 670 , -   ," 84,614 "
262," 3,795 ", 968 ," 3,054 "," 11,491 ", 632 , 894 ," 2,017 "," 49,856 ", -   , 987 , -   ," 73,694 "
263," 5,238 "," 3,952 "," 8,393 "," 22,332 "," 1,589 "," 1,364 "," 2,609 "," 48,649 ", -   , 444 , -   ," 94,571 "
264," 6,071 "," 7,318 "," 14,814 "," 16,305 "," 3,634 ", 654 ," 1,728 "," 54,818 ", -   ," 8,543 "," 1,591 "," 115,475 "
265," 3,264 "," 4,221 "," 9,008 "," 15,719 "," 1,824 "," 2,349 "," 1,014 "," 39,576 ", -   ," 2,614 "," 1,730 "," 81,318 "
266, 314 , 625 ," 2,147 "," 5,988 ", 121 , 52 , -   ," 17,848 ", -   , -   , -   ," 27,093 "
267," 4,305 "," 5,201 "," 7,164 "," 10,855 ", 275 , 530 ," 4,554 "," 22,637 ", 989 ," 1,011 ", 320 ," 57,842 "
268," 1,227 "," 1,828 "," 5,905 "," 4,594 "," 1,725 ", 787 , -   ," 11,517 ", -   , 637 , 370 ," 28,591 "
269," 1,845 "," 2,116 "," 15,656 "," 3,850 "," 4,080 ", 154 ," 1,648 "," 27,538 ", -   , 511 , 477 ," 57,874 "
270," 1,676 "," 1,603 "," 6,690 "," 2,468 "," 1,077 ", 559 ," 1,644 "," 7,530 ", 251 , 316 , 520 ," 24,334 "
271, 525 , 656 ," 12,071 ", -   , -   , -   , 911 , -   , -   ," 1,103 ", -   ," 15,265 "
272, 843 , 905 ," 11,593 "," 6,378 ", 53 , 374 , 634 ," 19,201 ", -   , 413 , 103 ," 40,497 "
273," 2,962 "," 5,888 "," 7,843 "," 13,814 ", 626 ," 1,802 ", 478 ," 54,518 ", -   , 727 , 182 ," 88,840 "
274," 2,007 "," 2,956 "," 34,734 "," 14,866 "," 4,717 "," 2,350 "," 2,203 "," 28,694 ", 126 ," 5,283 ", 751 ," 98,688 "
275, 694 ," 2,557 "," 11,997 "," 16,522 ", 165 ," 3,349 "," 4,725 "," 32,063 ", -   ," 3,816 ", 426 ," 76,315 "
276," 2,769 "," 4,869 "," 7,441 "," 20,217 "," 1,026 ", 319 ," 3,049 "," 99,032 ", -   ," 2,108 ", 604 ," 141,434 "
277, 379 ," 2,261 "," 10,589 "," 11,134 ", 643 , -   ," 1,265 "," 38,560 ", -   ," 5,711 ", -   ," 70,542 "
278," 1,287 "," 4,689 "," 10,819 "," 33,458 "," 2,856 ", 736 ," 3,482 "," 114,218 ", -   ," 7,414 ", 320 ," 179,280 "
279, 146 ," 1,810 "," 1,483 "," 11,841 ", 561 ," 1,216 "," 1,356 "," 58,307 ", -   , 946 , -   ," 77,666 "
280," 5,313 "," 2,928 "," 16,113 "," 12,460 "," 1,391 "," 1,294 "," 1,382 "," 16,140 ", 123 , 820 , 164 ," 58,127 "
281, 470 ," 6,461 "," 8,451 "," 9,333 "," 3,450 "," 2,679 "," 1,160 "," 27,072 ", -   , 441 , 753 ," 60,270 "
282, 906 ," 5,824 "," 8,568 "," 7,724 "," 1,359 ", 230 ," 3,758 "," 27,448 ", -   ," 1,531 ", -   ," 57,349 "
283," 2,365 ", 779 ," 2,374 "," 2,077 ", -   , 692 , 171 ," 12,819 ", -   , 559 , 861 ," 22,697 "
284," 1,130 ", 800 ," 5,984 "," 20,749 ", 441 ," 1,099 ", -   ," 36,831 ", -   ," 1,334 ", 143 ," 68,510 "
285," 1,339 "," 1,039 "," 4,084 "," 12,204 ", 650 ," 1,006 ", 122 ," 75,015 ", -   ," 1,878 ", -   ," 97,335 "
286," 5,233 "," 6,419 "," 10,560 "," 7,082 "," 1,482 ", 142 , 372 ," 9,316 ", -   ," 1,213 ", -   ," 41,819 "
287," 3,858 "," 5,729 "," 12,167 "," 6,131 "," 2,781 ", 428 ," 1,037 "," 23,970 ", -   , 691 , 630 ," 57,421 "
288, 147 , 125 ," 8,812 "," 28,282 ", 21 ," 1,063 ", 447 ," 12,808 ", -   ," 1,641 ", 486 ," 53,832 "
289," 1,709 "," 2,210 "," 12,525 "," 20,859 "," 5,024 "," 3,660 ", 347 ," 38,339 ", -   , 815 , 267 ," 85,755 "
290, 389 ," 1,117 "," 8,131 "," 12,492 ", -   , 501 , 509 ," 44,845 ", -   , 147 , -   ," 68,133 "
291, -   ," 1,799 "," 6,850 "," 15,343 "," 2,952 "," 1,957 "," 2,705 "," 51,839 ", -   ," 3,312 ", -   ," 86,757 "
292, -   , -   ," 8,213 "," 23,348 ", -   , -   , 913 ," 53,301 ", 793 , 75 , -   ," 86,643 "
293, -   ," 1,083 "," 9,866 "," 14,106 "," 1,235 ", 699 ," 2,288 "," 43,971 ", 37 ," 1,406 ", -   ," 74,690 "
294, -   ," 3,131 "," 5,217 "," 30,692 "," 3,828 ", -   , 295 ," 61,535 ", -   , 735 , -   ," 105,433 "
295, 606 ," 1,448 "," 12,297 "," 36,448 ", -   , -   , 292 ," 87,270 ", -   ," 1,304 ", -   ," 139,666 "
296, 59 , -   , 699 ," 1,635 ", -   , -   , 292 ," 5,375 ", -   , -   , -   ," 8,059 "
297, -   , 624 ," 1,455 ", 784 , -   , -   , 55 ," 3,469 ", -   ," 1,087 ", -   ," 7,475 "
298," 1,172 "," 7,338 "," 17,635 "," 58,909 "," 2,884 "," 2,033 ", 121 ," 114,100 "," 1,018 "," 2,047 ", 142 ," 207,398 "
299, 82 , -   , 540 , 707 , 212 , -   , 34 ," 7,311 ", -   , -   , -   ," 8,887 "
300, -   , -   , 102 , 10 , -   , -   , -   , -   , -   , -   , -   , 112 
301," 10,258 "," 16,687 "," 79,264 "," 25,598 "," 2,873 "," 2,780 "," 5,651 "," 24,092 ", 544 ," 2,554 "," 4,369 "," 174,670 "
302," 1,246 "," 4,596 "," 21,078 "," 1,981 ", 429 ," 4,962 "," 1,317 "," 10,691 ", -   ," 3,695 ", 169 ," 50,164 "
303, 560 ," 8,892 "," 18,142 "," 15,395 "," 6,224 "," 8,086 "," 3,006 "," 14,754 ", -   ," 2,962 "," 1,102 "," 79,124 "
304," 2,190 "," 2,719 "," 19,263 "," 11,777 "," 1,411 ", 862 ," 1,477 "," 10,157 ", 619 ," 2,902 ", 303 ," 53,679 "
305," 1,429 "," 3,647 "," 15,902 "," 29,288 ", 957 ," 4,832 ", 454 ," 67,567 ", -   ," 2,507 ", -   ," 126,583 "
306," 2,752 "," 6,058 "," 8,592 "," 34,775 "," 2,804 "," 2,101 "," 1,888 "," 104,143 ", -   ," 1,975 ", 576 ," 165,663 "
307," 2,166 "," 2,540 "," 4,168 "," 9,451 ", 176 , 438 , 477 ," 58,689 ", -   ," 1,215 ", 293 ," 79,613 "
308, 381 ," 5,555 "," 9,810 "," 24,531 ", -   ," 1,991 "," 1,100 "," 89,213 ", -   , 996 , -   ," 133,579 "
309, -   , 392 ," 2,796 "," 20,049 ", 517 , 445 , -   ," 41,999 ", -   ," 1,354 ", -   ," 67,553 "
310, 337 , 883 ," 2,065 "," 15,492 ", 880 , 85 , 185 ," 46,834 ", -   , 631 , -   ," 67,391 "
311, -   ," 1,672 "," 4,044 "," 6,448 ", 186 ," 1,120 ", 102 ," 18,915 ", -   , 181 , -   ," 32,667 "
312," 1,365 "," 2,635 "," 13,538 "," 25,652 "," 1,450 "," 4,180 "," 3,463 "," 64,701 ", -   ," 1,191 ", -   ," 118,176 "
313, 679 ," 4,751 "," 6,914 "," 28,283 "," 2,488 ", 229 ," 4,397 "," 32,431 ", 159 ," 2,577 ", 624 ," 83,532 "
314, -   ," 3,061 "," 2,531 "," 5,460 "," 1,695 "," 1,671 ", 47 ," 19,811 ", -   , 761 , 272 ," 35,309 "
315, -   ," 1,127 "," 10,301 "," 32,674 "," 1,015 "," 2,247 ", 233 ," 69,869 ", -   ," 2,076 ", -   ," 119,543 "
316, 845 ," 2,412 "," 11,688 "," 24,941 ", 437 ," 1,776 ", 357 ," 92,422 ", -   ," 1,721 ", -   ," 136,600 "
317," 1,104 "," 2,932 "," 18,892 "," 2,232 ", 631 ," 2,506 ", 760 ," 10,463 ", -   ," 1,397 ", 136 ," 41,055 "
318, 877 , 655 ," 7,290 "," 1,098 ", 160 ," 2,603 ", 341 ," 2,410 ", -   , 611 , -   ," 16,045 "
319," 1,031 "," 2,658 "," 14,055 "," 2,625 "," 1,304 ", 303 ," 3,103 "," 18,096 ", -   , 799 , 165 ," 44,140 "
320, 30 ," 2,612 "," 16,785 "," 8,879 ", 571 ," 2,128 ", 863 ," 8,009 ", -   , 69 , 213 ," 40,160 "
321," 1,012 "," 4,284 "," 6,391 "," 17,673 ", 368 ," 1,744 "," 2,998 "," 75,438 ", -   ," 1,212 ", 206 ," 111,326 "
322," 1,785 "," 4,212 "," 16,692 "," 13,832 "," 2,968 ", 806 , 518 ," 40,310 ", -   ," 1,267 ", 813 ," 83,204 "
323," 2,459 "," 4,050 "," 10,900 "," 13,974 "," 1,096 ", 473 ," 2,994 "," 49,381 ", -   , 661 , -   ," 85,989 "
324, 797 ," 2,035 "," 5,783 "," 16,313 "," 1,336 ", 642 ," 1,061 "," 68,467 ", -   ," 1,963 ", -   ," 98,397 "
325, 422 ," 1,924 "," 8,377 "," 23,423 "," 1,032 "," 1,247 "," 4,478 "," 49,241 ", -   ," 1,588 ", 353 ," 92,086 "
326, 69 ," 3,387 "," 8,090 "," 22,340 "," 1,377 "," 3,761 ", 576 ," 37,377 ", -   ," 2,692 ", -   ," 79,667 "
327, -   , 142 ," 3,559 "," 14,283 ", 797 ," 1,567 "," 2,485 "," 50,537 ", -   ," 1,718 ", -   ," 75,087 "
328, 105 ," 2,168 "," 6,961 "," 1,076 ", 551 , -   , 152 ," 21,839 ", -   , 88 , 57 ," 32,997 "
329, 158 , -   ," 5,343 "," 5,458 ", 301 , 384 , 886 ," 16,196 ", -   , 57 , -   ," 28,781 "
330," 2,251 "," 3,712 "," 11,682 "," 11,795 "," 1,351 ", 235 , 902 ," 22,995 ", -   ," 1,970 ", 651 ," 57,544 "
331, 911 ," 2,668 "," 5,069 "," 5,618 ", 114 , -   ," 1,014 "," 23,630 ", 41 , 989 , 161 ," 40,214 "
332, 788 ," 4,849 "," 4,796 "," 7,924 "," 1,513 ", 354 , -   ," 37,946 ", -   , 102 , -   ," 58,272 "
333," 2,367 "," 1,872 "," 4,348 "," 10,841 ", 478 , -   , -   ," 26,311 ", -   ," 1,403 ", 220 ," 47,840 "
334," 1,235 "," 1,459 "," 2,533 "," 4,454 ", 303 , 765 , 547 ," 19,409 ", -   , 226 , -   ," 30,931 "
335, 939 ," 1,233 "," 4,113 "," 7,615 "," 2,042 ", 575 , 550 ," 30,518 ", -   ," 2,267 ", -   ," 49,852 "
336, 278 , -   ," 5,571 "," 4,965 ", 514 , 299 , 102 ," 38,046 ", -   , 213 , -   ," 49,988 "
337, -   , 662 ," 8,628 "," 13,160 ", 466 , 542 ," 1,048 "," 45,624 ", -   ," 2,605 ", -   ," 72,734 "
338, 103 ," 1,265 "," 5,431 "," 11,196 ", 764 , -   , 36 ," 17,469 ", -   ," 1,037 ", 188 ," 37,487 "
339," 2,060 "," 4,584 "," 9,908 "," 5,750 ", 624 , 352 , 242 ," 28,904 ", -   , 863 , -   ," 53,288 "
340, 16 ," 1,115 "," 27,904 "," 33,300 ", 4 ," 1,582 "," 1,001 ", -   , -   ," 1,952 ", 931 ," 67,805 "
341," 1,122 "," 5,890 "," 10,129 "," 3,252 "," 2,032 "," 1,320 ", 658 ," 4,832 ", -   ," 2,816 ", 268 ," 32,318 "
342," 1,008 "," 1,810 "," 1,774 "," 6,558 ", 594 , 201 , 726 ," 10,021 ", -   , 608 , 120 ," 23,420 "
343," 1,124 ", 833 ," 10,684 "," 11,690 "," 2,005 "," 2,346 ", 575 ," 19,525 ", -   ," 1,408 ", 303 ," 50,492 "
344, 31 , -   ," 1,458 ", 112 , -   , -   , -   ," 4,349 ", -   , -   , -   ," 5,950 "
345," 3,254 "," 2,556 "," 17,405 "," 20,239 ", 482 , 812 ," 1,895 "," 44,016 ", -   , 18 , 426 ," 91,101 "
346," 1,956 "," 1,677 "," 4,881 "," 5,020 ", 240 , -   , -   ," 28,962 ", -   , -   , -   ," 42,735 "
347, -   , -   , 338 ," 1,093 ", -   , -   , -   , -   , -   , -   , -   ," 1,431 "
348," 12,907 "," 10,624 "," 19,916 "," 29,575 "," 1,626 "," 1,783 "," 1,465 "," 73,374 ", -   ," 2,496 ", 855 ," 154,621 "
349," 5,433 "," 6,349 "," 2,890 "," 2,317 ", -   , -   , -   ," 7,352 ", -   , 98 , -   ," 24,440 "
350, -   , -   , -   , 997 , -   , -   , -   , -   , -   , -   , -   , 997 
