 Tabela 8 ,,,,,,,,,,
 262 ,"17,281","2,204",531,0,"6,624","7,381",0,904,0,"34,925"
 263 ,"16,556","2,319",0,0,"1,558","6,755",0,403,0,"27,592"
 264 ,"18,636","1,887",253,235,"6,291","7,428",0,"1,504",0,"36,235"
 265 ,"11,420","1,486",196,0,"1,553","6,241",349,0,0,"21,245"
 266 ,"4,926","1,180",405,85,"1,657","1,234",0,0,0,"9,486"
 267 ,"7,131","1,416",369,0,"1,447","3,101",0,179,0,"13,644"
 268 ,"2,499",338,225,314,"1,950","1,198",174,201,28,"6,927"
 269 ,"6,811",549,0,"2,087","1,871","2,410","2,095",0,0,"15,823"
 270 ,"1,943",272,483,90,"1,492","1,046",39,26,0,"5,391"
 271 ,,,,,,,,,,
 272 ,"4,905",162,279,563,"2,385","1,679",0,365,0,"10,338"
 273 ,"22,444","2,976",630,236,"2,732","5,352",290,222,0,"34,884"
 274 ,"10,966",0,"1,310",0,"2,575","3,452",0,218,0,"18,522"
 275 ,"12,860",566,"1,056",736,"2,716","3,135",344,0,0,"21,412"
 276 ,"30,616","3,070","1,954",0,"3,890","5,712",0,0,0,"45,240"
 277 ,"15,188",0,450,0,"4,206","7,875","2,702",0,"1,046","31,467"
 278 ,"35,349","6,831",514,"1,056","3,942","11,096",0,0,0,"58,788"
 279 ,"19,182","2,850","1,212",681,"6,335","7,219",0,126,126,"37,729"
 280 ,"5,705",0,907,0,"2,405","1,891",0,0,0,"10,909"
 281 ,"11,102",669,0,514,"2,773","2,144",0,"1,121",226,"18,549"
 282 ,"7,525",715,557,"2,940","2,531","2,432",0,0,0,"16,699"
 283 ,"6,399",0,130,189,"1,811","1,051",82,322,0,"9,984"
 284 ,"16,728",918,"1,206",0,"2,212","3,800",0,0,0,"24,864"
 285 ,"30,629","3,042",0,0,"5,443","13,597",0,435,"1,972","55,118"
 286 ,"3,173",49,314,0,748,"1,305",0,201,49,"5,839"
 287 ,"6,543",471,"1,377",194,"2,672",763,0,314,0,"12,334"
 288 ,"4,160",0,76,0,"1,485","2,722",0,0,0,"8,443"
 289 ,"13,692","1,281","2,104",0,"3,270","3,042",260,0,0,"23,649"
 290 ,"14,966",0,"1,772",0,"3,261","6,320",0,"1,051",496,"27,866"
 291 ,"16,033","1,365","1,257","1,386","3,611","16,615",0,0,0,"40,267"
 292 ,"21,969","3,016",133,236,"3,066","5,193",0,0,0,"33,612"
 293 ,"15,080","2,083","2,315",0,"5,415","4,847",0,0,0,"29,740"
 294 ,"17,505","2,093",637,"1,948","4,493","22,043",0,0,0,"48,720"
 295 ,"28,048","1,970","2,234",0,"6,067","21,134",0,"1,642",703,"61,798"
 296 ,"3,269","2,586",0,0,750,"2,595",0,0,0,"9,200"
 297 ,972,108,224,0,405,"1,024",0,45,0,"2,778"
 298 ,"29,715","1,277","1,826","1,493","7,913","28,164",0,"1,168","1,478","73,034"
 299 ,"3,080",369,95,0,95,"1,929",0,0,0,"5,568"
 300 ,,,,,,,,,,
 301 ,"10,411",0,816,"1,318","5,649","2,263",218,318,642,"21,636"
 302 ,"2,965",75,115,403,"1,733",424,329,0,0,"6,044"
 303 ,"5,291",0,320,482,"2,149","1,474",170,0,0,"9,887"
 304 ,"3,632",342,214,462,"1,395",906,255,74,0,"7,280"
 305 ,"28,920",974,0,0,"2,803","5,985",212,0,0,"38,895"
 306 ,"30,495","4,740","2,880","1,562","4,031","15,266","1,011",816,632,"61,432"
 307 ,"23,248","1,769",362,0,"1,447","5,332",0,0,0,"32,157"
 308 ,"28,192","9,941",0,0,"1,380","11,175",0,0,0,"50,688"
 309 ,"9,689","3,061",506,319,"1,099","2,276",0,438,0,"17,389"
 310 ,"17,316",541,"1,202",0,"3,397","5,484",348,202,202,"28,691"
 311 ,"6,468","1,099",182,227,964,"2,401",0,40,0,"11,380"
 312 ,"22,101","2,687",0,0,"1,528","10,118",0,0,0,"36,434"
 313 ,"11,516","1,389",682,510,"3,953","5,377",0,0,0,"23,426"
 314 ,"5,254",144,142,0,"1,544","2,752",0,0,0,"9,837"
 315 ,"20,511","3,573","1,134",0,"4,990","15,338",0,0,0,"45,545"
 316 ,"35,384","3,703","1,744",791,"3,495","13,073",442,0,0,"58,631"
 317 ,"2,198",494,319,658,"1,726",819,72,345,0,"6,630"
 318 ,535,84,33,269,98,43,283,67,0,"1,413"
 319 ,"3,497",631,0,689,"3,485","2,582",186,460,138,"11,667"
 320 ,"1,556",112,96,807,507,329,648,112,0,"4,167"
 321 ,"19,285","4,554",157,"2,020","2,888","7,354",982,"2,739",0,"39,979"
 322 ,"11,800","1,048",693,"1,540","5,785","2,370","1,235",197,0,"24,668"
 323 ,"18,450",502,381,398,"8,594","1,892",758,"1,676",667,"33,317"
 324 ,"22,674","3,311","4,928",884,"3,406","3,092","1,315",0,0,"39,610"
 325 ,"23,395","1,639",0,605,"9,146","3,920",0,0,0,"38,705"
 326 ,"11,546","1,600",0,542,"1,366","5,796",0,0,0,"20,850"
 327 ,"16,851","2,743",325,0,"6,961","1,693",0,0,0,"28,573"
 328 ,"5,786",28,490,"2,863","1,816",643,"1,567",921,68,"14,182"
 329 ,"5,744",384,776,414,"3,256","1,161",601,0,0,"12,338"
 330 ,"6,891",0,755,"3,582","3,561",500,384,701,0,"16,373"
 331 ,"12,103","1,016","3,195","3,363","1,313","3,945",0,346,0,"25,280"
 332 ,"9,072",336,622,156,696,"10,725",0,"1,698","1,759","25,064"
 333 ,"9,787",993,216,796,"2,800","7,371",0,237,0,"22,199"
 334 ,"6,265",124,737,971,"1,785","2,304",522,91,0,"12,799"
 335 ,"9,265",0,"1,680","2,420","5,736","5,514",784,0,0,"25,399"
 336 ,"7,897","1,993",460,"1,825","3,527","3,714",0,0,142,"19,558"
 337 ,"11,981",0,"1,044","1,032","5,418","4,501",729,0,0,"24,705"
 338 ,"7,222","1,353",820,453,"1,674","1,525",0,0,0,"13,047"
 339 ,"8,740","2,729",0,151,"1,434","5,587",0,345,0,"18,985"
 340 ,,,,,,,,,,
 341 ,"1,877",160,324,794,299,462,84,42,0,"4,041"
 342 ,"2,728",97,207,942,"1,109",474,0,0,0,"5,558"
 343 ,"7,481",861,806,"1,297","2,687",681,0,0,0,"13,814"
 344 ,932,0,141,216,450,525,257,0,0,"2,521"
 345 ,"10,438",663,554,758,"4,282","3,068","2,572",866,0,"23,202"
 346 ,"9,673","3,500",311,0,"1,311","4,142",0,0,0,"18,937"
 347 ,,,,,,,,,,
 348 ,"27,070","5,501","2,374",0,722,"4,549",0,764,0,"40,981"
 349 ,"2,202",0,128,134,193,"1,077",13,0,0,"3,746"
 350 ,,,,,,,,,,
 351 ,"15,715","2,721",613,0,0,"5,193",0,0,0,"24,242"
 352 ,"26,074",860,"2,114",0,431,"8,213",0,804,0,"38,496"
 353 ,,,,,,,,,,
 354 ,,,,,,,,,,
 355 ,,,,,,,,,,
 356 ,"11,982","2,064","3,080",0,"2,517","4,768",0,0,0,"24,411"
 357 ,"24,821",983,752,0,56,"11,469",0,0,0,"38,081"
 358 ,"1,259",643,0,0,156,275,0,54,0,"2,387"
 359 ,"11,252",161,"1,377",0,736,"5,030",0,0,0,"18,555"
 360 ,"2,284",0,532,"1,315","5,195",762,342,0,0,"10,430"
 361 ,"5,005",0,188,0,"1,016","4,991",0,0,0,"11,199"
 362 ,"3,316",0,118,0,782,"1,642",0,0,0,"5,859"
 363 ,"4,916",154,803,206,"2,568",706,0,170,232,"9,756"
 364 ,"13,916",0,641,917,"1,980","6,923",0,0,0,"24,378"
 365 ,"2,551",273,0,29,511,965,76,35,53,"4,492"
 366 ,"3,084",48,203,85,520,541,128,8,0,"4,616"
 367 ,"13,039",0,251,501,"1,209","2,519",0,0,0,"17,519"
 368 ,"11,204",154,368,275,"1,200","1,876",442,124,0,"15,644"
 369 ,"12,643",530,313,0,"1,459","3,597",223,0,0,"18,766"
 370 ,"17,074",0,995,423,"7,469","5,501",253,408,0,"32,122"
 371 ,"31,992","1,209",551,0,"3,281","9,041",0,714,0,"46,787"
 372 ,"20,998",306,0,776,"1,409","6,772",574,326,276,"31,437"
 373 ,"17,942",165,"1,504",0,"2,671","6,656",0,177,0,"29,115"
 374 ,"11,325",642,"1,030",0,"2,146","8,038",0,284,0,"23,465"
 375 ,,,,,,,,,,
 376 ,"19,796","1,897","1,024",0,"6,005","9,534",346,0,0,"38,603"
 377 ,"13,732",0,"1,000",0,"2,670","4,550",226,174,0,"22,352"
 378 ,"44,457",412,467,"2,795","4,788","24,282",0,"2,382","1,080","80,663"
 379 ,"24,461","2,426",0,0,"3,730","12,242",0,0,0,"42,859"
 380 ,"19,342",721,0,223,"1,261","5,887",485,301,205,"28,426"
 381 ,"35,364",0,229,0,"2,751","8,517",0,984,467,"48,313"
 382 ,,,,,,,,,,
 383 ,"24,216",977,"1,348",0,"5,276","13,094",0,469,"2,061","47,442"
 384 ,"25,083","2,713",0,134,"2,406","13,509",0,0,0,"43,845"
 385 ,"11,475",322,701,0,189,"3,892",0,0,0,"16,578"
 386 ,,,,,,,,,,
 387 ,"1,173",0,0,0,123,"1,082",0,0,0,"2,378"
 388 ,"21,934","1,657","1,295",440,"3,959","9,188",0,0,0,"38,474"
 389 ,"1,380",0,328,0,"1,218",661,333,570,0,"4,490"
 390 ,"9,502",821,493,139,"1,047","6,536",0,0,0,"18,537"
 391 ,"1,612",128,0,0,410,"1,742",0,215,0,"4,106"
 392 ,,,,,,,,,,
 393 ,,,,,,,,,,
 394 ,"17,808","3,199","1,200","1,669","2,414","11,914",0,"1,462","2,019","41,685"
 395 ,,,,,,,,,,
 396 ,"26,905","5,365",417,0,"4,562","10,944",0,0,0,"48,193"
 397 ,"5,671",570,736,0,469,"3,411",0,0,0,"10,857"
 398 ,"21,782",817,"2,575",0,"7,282","10,161",362,0,0,"42,979"
 399 ,"26,051","3,419","1,657","1,098","3,972","12,599",0,0,0,"48,796"
 400 ,"17,851","2,301",445,108,"3,299","6,634",0,702,0,"31,340"
 401 ,"29,272","1,909","2,447",556,"2,598","13,308",303,410,429,"51,232"
 402 ,"20,127","3,393",710,0,"3,385","8,251",719,426,194,"37,204"
 403 ,"41,939","1,696","2,804",0,"3,516","5,499",0,357,0,"55,810"
 404 ,"38,572","4,855","6,266","3,291","6,787","15,873","1,126","1,415",0,"78,185"
 405 ,"7,563",336,181,0,789,"2,429",176,0,0,"11,474"
 406 ,"4,365",350,345,0,657,"2,446",0,0,0,"8,163"
 407 ,"16,625",485,"3,316",0,"5,940","4,503",267,"1,908",0,"33,044"
 408 ,"8,530",644,867,0,"2,393","4,215",332,619,0,"17,600"
 409 ,"5,050","1,754","1,165",0,"4,713","3,439",672,392,0,"17,185"
 410 ,"32,786","4,159",754,778,"1,892","14,256",0,412,0,"55,039"
 411 ,"11,467","1,537",381,287,"1,634","7,981",343,"1,101",0,"24,729"
 412 ,"3,039",131,139,299,"1,121","3,549",516,118,0,"8,911"
 413 ,"3,003",633,172,0,572,"1,425",0,71,71,"5,946"
 414 ,"3,441",0,885,130,"1,143","3,032",0,130,0,"8,760"
 415 ,"10,789",212,868,158,"2,462","3,679",114,0,0,"18,282"
 416 ,"5,088",0,221,0,"1,427","2,830",0,0,0,"9,567"
 417 ,,,,,,,,,,
 418 ,"4,626",303,272,0,798,"3,969",215,0,0,"10,184"
 419 ,,,,,,,,,,
 420 ,"1,182",136,858,88,"1,261","1,999",0,0,263,"5,786"
 421 ,,,,,,,,,,
 422 ,"6,065",888,968,258,"1,530","3,326",0,583,0,"13,618"
 423 ,,,,,,,,,,
 424 ,"10,041",0,"1,379",0,"5,845","3,112","1,320",0,0,"21,697"
 425 ,"13,993","1,814",450,696,"5,045","4,708",0,0,0,"26,706"
 426 ,"6,433",451,"1,077",270,"4,379","1,836",0,0,0,"14,446"
 427 ,"1,986",216,80,32,604,761,0,0,0,"3,679"
 428 ,"4,188",72,"1,099",79,"1,772","1,404",230,0,0,"8,842"
 429 ,"22,082","1,060","1,226","3,072","6,028","2,982","1,089","2,370",287,"40,195"
 430 ,"13,386",122,251,0,"2,083","2,373",0,0,0,"18,214"
 431 ,"7,350",0,128,381,"2,565","1,781",125,280,158,"12,769"
 432 ,"7,472",657,365,0,747,"2,507",0,0,0,"11,747"
 433 ,"10,405",75,362,371,"3,329","1,467",215,698,0,"16,921"
 434 ,"13,462","1,297",923,923,"4,009","5,800",0,496,0,"26,908"
 435 ,"17,450",721,"1,901",0,"1,747","5,172",0,158,0,"27,148"
 436 ,"14,318","3,436",430,440,"3,382","8,569",0,0,452,"31,026"
 437 ,"14,308",218,0,0,"3,903","3,508",0,0,0,"21,936"
 438 ,"26,600","1,685","5,766","3,300","8,519","6,742",724,0,0,"53,336"
 439 ,"34,348","7,908","2,967","1,624","4,763","10,911",804,0,0,"63,325"
 440 ,"38,556","5,930",209,0,"2,967","12,208",923,0,0,"60,793"
 441 ,593,29,120,36,71,258,20,0,0,"1,125"
 442 ,"16,051",959,"1,487",351,0,"2,605",0,0,0,"21,452"
 443 ,"31,256","1,028","2,492",732,"4,371","10,689",0,930,195,"51,694"
 444 ,"43,943","10,469",810,0,"2,087","10,478",0,367,278,"68,432"
 445 ,"28,955",0,"3,843",711,"2,438","4,695",0,0,501,"41,143"
 446 ,"7,902",791,0,0,"2,150","1,217",0,0,0,"12,060"
 447 ,"18,946","1,127",533,0,"3,017","13,010",0,0,0,"36,633"
 448 ,"7,604",785,225,245,"1,160","1,556",0,0,0,"11,575"
 449 ,"4,768",522,77,0,60,"1,084",0,0,0,"6,512"
 450 ,"5,151",344,386,0,120,"1,270",0,0,0,"7,272"
 451 ,"9,500","1,441",524,0,"2,166","1,902",947,167,0,"16,647"
 452 ,"25,237","1,451","1,246",0,"5,483","14,774",686,394,0,"49,270"
 453 ,"12,720","1,965","1,114",308,"5,239","6,401",411,763,0,"28,922"
 454 ,"10,247","2,276",909,0,"5,895","4,058",0,902,0,"24,288"
 455 ,"14,306","3,775",0,"1,265","7,195","4,173",361,584,158,"31,816"
 456 ,"28,127","1,132","2,041",617,"6,345","5,837","1,314",0,0,"45,413"
 457 ,"41,193","3,171","3,726",411,"13,522","18,161",361,411,0,"80,956"
 458 ,"17,163",0,"2,875",0,"8,195","13,656",974,0,0,"42,862"
 459 ,"14,169","2,564",929,0,879,"2,999",0,0,0,"21,540"
 460 ,"5,456",679,563,0,504,"1,825",0,190,0,"9,217"
 461 ,,,,,,,,,,
 462 ,"48,030","1,713","1,355",0,"3,310","15,101",937,0,0,"70,447"
 463 ,"16,620",184,"2,978",435,"3,518","8,576","2,626",587,0,"35,523"
 464 ,"27,247","2,492",0,0,"6,762","9,681",994,0,0,"47,176"
 465 ,"36,852","2,279","1,758",0,"1,798","6,595",0,0,0,"49,282"
 466 ,"18,374","1,713",0,577,"1,070","4,147",0,0,0,"25,880"
 467 ,"21,624","4,929","1,302",0,"3,033","4,853",0,0,0,"35,741"
 468 ,"26,143",0,"1,641","2,447","4,916","1,749",0,742,0,"37,637"
 469 ,"14,255",384,841,426,"2,173","8,878",0,312,0,"27,270"
 470 ,"19,102",283,0,0,"9,536","12,792",0,0,814,"42,527"
 471 ,"16,792",387,0,0,"2,001","6,521",381,0,934,"27,017"
 472 ,"17,225","3,794",322,0,"1,032","4,175",0,"1,387",252,"28,187"
 473 ,"24,414","7,236","4,513","1,512","5,038","13,957","1,381",0,"1,781","59,832"
 474 ,"15,727","1,850",638,381,"2,335","3,303",264,"2,170",0,"26,668"
 475 ,"5,721",250,427,27,344,"1,668",58,333,0,"8,826"
 476 ,"28,509","1,058","2,454",533,"11,777","23,651",0,352,352,"68,686"
 477 ,956,28,0,66,180,"1,370",0,0,0,"2,599"
 478 ,"2,469",0,122,0,84,948,0,0,0,"3,624"
 479 ,"2,642",624,"1,450",130,872,"1,996",0,123,0,"7,837"
 480 ,"8,322",599,"1,099",0,"5,342","6,219",0,211,0,"21,791"
 481 ,"4,724",429,621,0,"1,041","3,266",0,215,0,"10,295"
 482 ,968,52,97,0,290,875,0,0,0,"2,283"
 483 ,"4,794",498,787,104,748,"4,547",93,0,0,"11,571"
 484 ,,,,,,,,,,
 485 ,,,,,,,,,,
 486 ,"31,661",0,"4,608","4,011","5,841","13,706",267,0,0,"60,094"
 487 ,"15,055","1,429","3,536","1,685","4,278","5,930",0,"1,235","1,602","34,749"
 488 ,,,,,,,,,,
 489 ,,,,,,,,,,
 490 ,"13,461","1,094","1,835",725,"2,172","4,498",0,0,0,"23,785"
 491 ,"22,627","2,660","1,206",0,728,"8,621",0,0,0,"35,841"
 492 ,"7,424",377,997,335,"1,295","3,157",0,0,0,"13,585"
 493 ,905,139,73,196,566,328,0,0,0,"2,208"
 494 ,"37,657","3,490",797,311,"3,764","18,006",0,0,0,"64,025"
 495 ,"30,753","1,435","1,522",378,"3,708","9,954",0,0,0,"47,750"
 496 ,"13,497","2,433",0,436,"2,067","13,957",437,0,0,"32,826"
 497 ,"11,283",873,0,242,"1,883","2,923",131,0,0,"17,334"
 498 ,"9,167",0,509,"2,663","3,855","8,936",293,0,0,"25,423"
 499 ,"1,606",105,153,0,432,308,32,228,0,"2,864"
 500 ,"5,881",281,207,0,"3,128",822,115,281,0,"10,713"
 501 ,"14,711",0,357,643,"3,515","1,836",576,0,0,"21,638"
 502 ,"16,448",315,"5,123",168,"3,533","4,818",681,"3,341",0,"34,426"
 503 ,"12,369","1,602",647,0,"2,915","3,718",151,240,317,"21,959"
 504 ,"27,686",0,0,269,963,"7,716",0,0,0,"36,634"
 505 ,"36,315","6,101","3,191",0,"11,326","9,366",401,599,599,"67,899"
 506 ,"23,751","2,632",608,0,"9,336","6,358",0,0,355,"43,041"
 507 ,"4,952",432,20,99,"1,223",597,0,0,0,"7,324"
 508 ,"5,613",520,359,0,"1,180","1,238",0,158,0,"9,068"
 509 ,"35,457","1,477",732,331,"5,883","14,205",0,273,0,"58,358"
 510 ,"14,072",367,598,388,"2,661","2,922",0,0,0,"21,009"
 511 ,"15,828","1,648",723,568,"1,376","4,747",0,615,240,"25,745"
 512 ,"12,328",423,0,0,"1,454","3,109",0,151,232,"17,698"
 513 ,"1,649",408,270,0,641,"1,042",321,112,112,"4,554"
 514 ,"25,419",501,677,0,"7,064","14,022",0,677,0,"48,360"
 515 ,"2,616",254,181,43,"2,072",446,143,49,41,"5,845"
 516 ,"4,498","1,472",419,"4,652","1,701","5,167",287,572,0,"18,768"
 517 ,"5,008",509,855,"2,094","2,131","1,435","1,093",406,0,"13,532"
 518 ,"42,848","6,807","3,935","1,576","2,222","13,740","1,146","3,921",986,"77,180"
 519 ,"1,965",101,0,0,133,"1,019",0,0,0,"3,217"
 520 ,,,,,,,,,,
 521 ,"10,702","2,039","1,358",342,"1,759","7,473",0,519,0,"24,192"
 522 ,"17,473",855,"2,992","2,052",525,"5,754",0,0,0,"29,652"
 523 ,"1,066",49,101,146,661,571,42,77,0,"2,712"
 524 ,"26,555","3,632","2,668",0,"7,170","9,598",0,0,0,"49,624"
 525 ,"35,152","3,800","2,292",961,"7,625","6,502",0,0,0,"56,332"
 526 ,"37,472","2,160","6,034","5,279","12,212","9,230","1,845","5,042",0,"79,273"
 527 ,"3,622",182,"1,295",148,377,"1,591",0,709,105,"8,028"
,,,,,,,,,,
 TOTAL RMSP ,"5,590,064","526,855","371,422","238,417","1,235,722","2,142,011","104,698","138,276","49,295","10,396,760"
,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,, -   
