origem,destino,classe_media,classe_moda,n_amostras
1,2,3.3333333333333335,C1,15
1,3,3.4166666666666665,B2,12
1,5,3.142857142857143,B2,14
1,6,3.75,B2,8
1,16,4.0,C2,5
1,24,3.4,B2,5
1,26,4.2,C1,5
1,27,3.8,C1,5
1,31,3.0,B2,7
1,34,2.4,B1,5
1,35,3.4,B2,5
1,36,2.25,B2,8
1,41,3.2,A,5
1,79,2.4,B2,5
1,152,3.2,B1,5
1,257,4.0,B2,5
2,1,3.3333333333333335,C1,15
2,3,4.916666666666667,C2,12
2,6,4.363636363636363,B2,11
2,7,3.1,B1,10
2,12,4.0,B2,5
2,17,4.666666666666667,C1,9
2,18,3.2,B2,5
2,24,4.0,C1,8
2,129,4.4,B2,5
3,1,3.230769230769231,B2,13
3,2,4.75,C2,12
3,5,4.5,C1,6
3,24,4.0,C1,8
3,27,2.7777777777777777,A,9
3,32,2.4,B1,5
4,1,3.2,C1,5
4,5,4.142857142857143,C2,7
4,25,3.6666666666666665,C1,6
4,26,5.083333333333333,C2,12
4,31,2.8,B2,5
5,1,3.2857142857142856,B2,14
5,3,4.666666666666667,C2,6
5,4,3.7142857142857144,B2,7
5,6,4.230769230769231,C1,13
5,9,4.5,C2,6
5,31,3.2,B2,10
5,35,3.7142857142857144,C2,7
5,36,2.5,B1,6
5,41,2.8,B1,5
5,49,3.8,B2,5
5,54,2.6,B2,5
5,62,3.0,B2,6
5,80,2.5,B1,6
5,93,3.4285714285714284,B2,14
5,194,4.0,C1,5
5,301,2.8,B2,5
6,1,3.75,B2,8
6,2,4.3,B2,10
6,5,4.230769230769231,C1,13
6,35,4.454545454545454,C2,11
7,1,3.2,B2,5
7,2,3.1,B1,10
7,8,3.5384615384615383,B2,13
7,9,4.291666666666667,C2,24
7,12,3.7142857142857144,C1,7
7,35,4.333333333333333,C1,9
8,7,3.875,B2,8
8,37,4.333333333333333,B2,18
8,136,3.6666666666666665,C1,6
9,5,4.4,C2,5
9,7,4.260869565217392,C1,23
9,10,4.666666666666667,C1,6
9,12,5.4,C2,5
9,131,4.0,C1,5
10,9,4.666666666666667,C1,6
10,11,4.733333333333333,C2,15
10,12,4.6,C2,35
10,16,4.0,C1,6
10,130,4.2,C1,5
10,131,4.0,C1,6
11,10,4.714285714285714,C2,14
11,12,4.1,C2,30
11,14,4.8,C1,5
11,38,4.238095238095238,C2,21
11,39,4.0,C1,7
11,42,4.142857142857143,B2,7
11,164,4.285714285714286,C1,7
11,177,4.8,C2,5
12,2,4.0,B2,5
12,7,3.875,C1,8
12,9,5.2,C2,5
12,10,4.625,C2,32
12,11,4.1,C2,30
12,13,4.352941176470588,C2,17
12,14,4.181818181818182,C1,22
12,17,4.5,C1,6
12,38,3.56,B2,25
12,42,4.666666666666667,C2,12
12,130,4.428571428571429,C2,7
12,165,4.0,C1,5
13,12,4.352941176470588,C2,17
13,14,4.0,C1,20
13,15,3.909090909090909,B2,11
14,12,4.0,C1,21
14,13,4.0,C1,20
14,15,4.846153846153846,D-E,13
14,16,4.166666666666667,C1,6
14,17,4.043478260869565,C1,23
14,38,4.625,C2,8
14,41,5.090909090909091,D-E,11
14,42,5.05,D-E,20
15,13,3.909090909090909,B2,11
15,14,4.4,B2,15
15,16,5.2,C2,5
15,43,3.875,C1,8
16,1,4.0,C2,5
16,10,4.0,C1,6
16,14,4.166666666666667,C1,6
16,15,5.2,C2,5
16,17,4.972222222222222,C2,36
16,18,4.625,C1,8
16,41,3.4,C2,5
17,2,4.666666666666667,C1,9
17,12,4.5,C1,6
17,14,4.090909090909091,C1,22
17,15,4.6,B2,5
17,16,4.972222222222222,C2,36
17,39,4.833333333333333,C2,6
17,41,5.0,C2,5
18,2,3.6,B2,5
18,12,3.4,B2,5
18,16,4.5,C1,6
18,19,3.642857142857143,B2,14
18,43,2.8333333333333335,B2,6
18,45,4.25,C1,12
18,241,3.6,B2,5
19,18,3.642857142857143,B2,14
19,20,3.125,C1,8
19,50,3.4545454545454546,B2,11
19,51,1.8571428571428572,A,7
19,237,2.8333333333333335,B2,6
20,19,3.125,C1,8
20,22,3.8,B2,5
20,24,4.375,C2,8
21,23,2.3333333333333335,B1,6
21,24,2.9,B1,10
21,49,3.0,B2,5
21,240,3.2,B2,5
22,20,3.8,B2,5
22,21,3.4,B2,5
22,23,2.8181818181818183,B2,11
22,24,4.428571428571429,C1,7
22,27,3.4,B2,5
22,49,2.4285714285714284,B2,7
22,53,3.0,B1,5
23,21,2.3333333333333335,B1,6
23,22,2.8333333333333335,B2,12
23,24,3.25,C1,8
24,1,3.4,B2,5
24,2,4.0,C1,8
24,3,4.142857142857143,C1,7
24,20,4.375,C2,8
24,21,2.9,B1,10
24,22,4.125,C1,8
24,23,3.4285714285714284,C1,7
24,27,3.6666666666666665,C1,6
24,49,2.6,B1,5
24,63,2.1666666666666665,B1,6
25,4,3.4,C1,5
25,27,2.75,A,8
25,29,3.3333333333333335,B2,6
25,31,4.428571428571429,C2,7
26,1,4.2,C1,5
26,4,4.857142857142857,C2,14
26,27,2.5,A,14
26,29,4.142857142857143,C1,7
27,1,4.0,C1,6
27,3,2.7777777777777777,A,9
27,22,3.4,B2,5
27,24,3.6666666666666665,C1,6
27,25,2.75,A,8
27,26,2.6153846153846154,A,13
27,28,2.888888888888889,B2,27
27,29,2.857142857142857,C1,7
27,31,1.5714285714285714,A,7
27,32,2.2222222222222223,B1,9
27,41,2.142857142857143,B2,7
27,53,3.0,B2,5
27,55,1.6,B1,5
27,57,3.076923076923077,B1,13
27,58,3.2857142857142856,C1,7
27,62,2.8,B2,5
27,73,3.8,C1,5
27,74,2.5,B1,12
27,75,2.5714285714285716,B2,7
27,76,1.8333333333333333,B1,6
27,78,2.3333333333333335,A,9
27,79,1.75,A,12
27,80,2.2857142857142856,B1,7
27,83,1.8333333333333333,B1,6
27,275,3.8,B2,5
27,323,1.6666666666666667,A,6
28,27,3.0,B2,23
28,29,2.263157894736842,B1,19
28,30,3.0,B1,5
28,31,2.7,B1,10
28,32,2.8,B2,10
28,34,1.1666666666666667,A,6
28,57,2.2142857142857144,B2,14
28,74,2.7777777777777777,B1,18
28,75,2.9285714285714284,B2,14
28,78,1.6,B1,5
28,79,2.6,B2,10
28,83,2.0,B1,8
28,278,4.4,C1,5
29,25,3.3333333333333335,B2,6
29,26,3.75,C1,8
29,27,2.857142857142857,C1,7
29,28,2.380952380952381,B1,21
29,30,2.0,A,5
29,31,3.0,B2,12
29,32,2.8666666666666667,B2,15
29,33,1.0,A,5
29,36,2.0,A,5
29,40,3.6,B2,5
29,54,2.2,B1,5
29,56,3.0,B2,6
29,57,2.7777777777777777,B2,9
29,62,2.7777777777777777,B2,9
29,68,3.25,B2,8
29,70,2.0,B1,5
29,74,2.9,B1,10
29,78,1.6,A,15
29,79,2.5294117647058822,B2,17
29,80,2.5555555555555554,B2,9
29,81,1.8888888888888888,A,9
29,82,2.8,B2,5
29,84,2.2,B1,5
29,88,2.142857142857143,A,7
29,89,2.4,B1,5
29,93,2.4285714285714284,B1,7
30,28,2.4,B1,5
30,29,1.7142857142857142,A,7
30,31,2.0689655172413794,A,29
30,32,2.9,B2,10
30,33,1.5625,A,16
30,34,1.8431372549019607,A,51
30,35,3.0,C1,11
30,36,2.28,B1,25
30,54,1.1666666666666667,A,6
30,80,1.8,A,5
30,83,2.2,B2,5
30,84,2.0,B1,8
30,85,1.75,B1,8
30,87,2.625,B2,8
30,340,1.8333333333333333,B1,6
31,1,3.0,B2,6
31,4,2.857142857142857,B2,7
31,5,3.3,C1,10
31,25,4.428571428571429,C2,7
31,27,2.2222222222222223,A,9
31,28,2.7777777777777777,B1,9
31,29,2.909090909090909,B2,11
31,30,2.0,A,32
31,32,3.4,B2,20
31,33,1.0,A,6
31,34,1.7272727272727273,A,11
31,35,3.625,C1,8
31,36,3.2222222222222223,B2,9
31,51,1.4,A,5
31,58,3.4285714285714284,B2,7
31,73,2.6,B2,5
31,74,2.2857142857142856,A,7
31,75,3.0,B1,5
31,78,2.4545454545454546,A,11
31,79,2.5384615384615383,B2,13
31,80,2.75,B2,8
31,81,1.8,A,5
31,82,3.1666666666666665,C1,6
31,83,2.5714285714285716,B2,7
31,87,1.875,A,8
31,88,2.8333333333333335,B2,6
31,90,1.7142857142857142,A,7
31,93,3.0,B1,6
31,97,1.3333333333333333,A,9
31,340,3.0,B1,5
32,27,2.375,B1,8
32,28,3.0,B2,10
32,29,3.1538461538461537,B2,13
32,30,2.727272727272727,B2,11
32,31,3.1818181818181817,B2,22
32,34,2.7142857142857144,B2,7
32,57,2.2,B1,5
32,62,2.0,A,10
32,68,3.0,B2,5
32,73,2.2,B1,5
32,74,2.3076923076923075,B1,13
32,75,2.6666666666666665,B2,6
32,76,2.0,B1,6
32,77,3.3,B2,10
32,78,1.7333333333333334,A,15
32,79,2.269230769230769,B2,26
32,81,2.2666666666666666,B2,15
32,83,2.8,B2,5
32,87,2.25,A,8
32,340,2.8,B1,5
33,29,1.0,A,5
33,30,1.8421052631578947,B1,19
33,31,1.0,A,6
33,34,1.6,B1,5
33,79,2.2857142857142856,B2,7
33,88,2.6,B2,5
33,93,1.1666666666666667,A,6
34,1,2.1666666666666665,A,6
34,30,1.8222222222222222,A,45
34,31,1.4166666666666667,A,12
34,32,2.875,B2,8
34,33,1.6,B1,5
34,35,2.9,B1,10
34,36,2.5416666666666665,B1,24
34,77,1.1666666666666667,A,6
34,79,2.0,A,11
34,84,2.0,A,5
34,85,1.0,A,8
35,5,4.166666666666667,C2,6
35,6,4.076923076923077,C2,13
35,7,4.333333333333333,C1,9
35,30,2.769230769230769,C1,13
35,31,3.625,C1,8
35,34,3.0,B1,9
35,36,3.2222222222222223,B2,18
35,37,3.6666666666666665,C1,6
35,84,3.2,C2,5
36,1,2.4285714285714284,B2,7
36,5,2.2,B1,5
36,29,2.0,A,5
36,30,2.28,B1,25
36,31,3.2222222222222223,B2,9
36,34,2.3333333333333335,B1,24
36,35,3.1578947368421053,B2,19
36,37,2.0,A,8
36,54,2.4,B1,5
36,79,2.6,A,5
36,91,1.8,A,5
36,92,2.3333333333333335,B2,15
36,93,2.533333333333333,A,15
37,7,3.2222222222222223,B2,9
37,8,4.571428571428571,C1,14
37,35,4.2,C1,5
37,36,2.0,A,7
37,91,1.4,A,5
37,92,2.5714285714285716,B2,7
37,93,3.142857142857143,B2,7
37,137,1.0,A,5
38,11,4.2,B2,20
38,12,3.5,B2,22
38,14,4.625,C2,8
38,39,4.285714285714286,C2,7
38,42,5.090909090909091,D-E,11
39,11,4.166666666666667,C1,6
39,17,4.8,C2,5
39,38,4.285714285714286,C2,7
39,41,3.586206896551724,B2,29
39,42,4.882352941176471,C2,17
39,166,4.0,C1,5
39,167,4.4,C1,5
39,168,4.3,C1,10
40,29,3.6,B2,5
40,41,2.933333333333333,B2,15
40,43,3.2222222222222223,B2,45
40,45,3.3333333333333335,B2,12
40,48,3.066666666666667,B2,30
40,254,3.3333333333333335,B2,6
41,1,3.2,A,5
41,14,5.090909090909091,D-E,11
41,16,3.5,C2,6
41,17,5.0,C2,6
41,27,2.0,A,8
41,39,3.5357142857142856,B2,28
41,40,2.933333333333333,B2,15
41,42,4.3076923076923075,C1,13
41,43,3.2142857142857144,B1,14
41,45,2.1666666666666665,B1,6
41,166,3.0,B2,5
41,167,2.875,B2,8
41,168,3.4444444444444446,B2,9
41,169,2.8,B1,5
42,11,4.142857142857143,B2,7
42,12,4.666666666666667,C2,12
42,14,5.05,D-E,20
42,38,5.090909090909091,D-E,11
42,39,5.133333333333334,C2,15
42,41,4.214285714285714,C1,14
43,15,4.0,C1,9
43,18,2.8333333333333335,B2,6
43,31,2.6,B2,5
43,40,3.227272727272727,B2,44
43,41,3.3076923076923075,B1,13
43,44,2.3333333333333335,A,15
43,45,2.9655172413793105,C1,58
43,46,3.2,B2,5
43,47,3.090909090909091,B2,11
43,48,2.7777777777777777,B2,9
43,73,1.8,A,5
43,167,2.6666666666666665,B2,6
43,168,2.857142857142857,B2,7
43,169,3.2,B2,5
43,228,4.4,C2,5
43,254,3.6666666666666665,B2,6
44,43,2.3333333333333335,A,15
44,45,2.9,B2,10
44,46,2.3333333333333335,A,6
44,47,3.5,B2,10
44,253,4.8,C1,5
44,254,2.6666666666666665,B1,6
45,18,4.090909090909091,C1,11
45,40,3.3076923076923075,B2,13
45,41,2.142857142857143,B1,7
45,43,2.9655172413793105,C1,58
45,44,2.9,B2,10
45,47,4.0,B2,7
45,253,3.9411764705882355,C2,17
45,254,2.3333333333333335,B2,9
46,43,3.2,B2,5
46,44,2.3333333333333335,A,6
46,47,2.5714285714285716,B2,7
46,48,3.2,B2,5
46,254,3.375,B2,8
46,256,5.0,C2,5
47,43,3.090909090909091,B2,11
47,44,3.5,B2,10
47,45,4.0,B2,7
47,46,2.5714285714285716,B2,7
47,254,2.6666666666666665,B1,6
48,40,3.066666666666667,B2,30
48,43,2.857142857142857,B2,7
48,46,3.2,B2,5
48,166,2.7142857142857144,B2,7
48,167,3.6666666666666665,C2,6
48,168,2.142857142857143,A,14
48,169,2.1666666666666665,B1,6
48,210,3.0,B2,6
48,239,2.0,B1,5
49,5,3.8,B2,5
49,21,3.0,B2,5
49,22,2.4285714285714284,B2,7
49,24,2.6,B1,5
49,52,3.272727272727273,C1,11
49,55,2.4285714285714284,B2,14
49,56,2.25,B1,16
49,58,2.375,B1,8
49,74,2.6,B2,5
49,77,2.375,B1,8
50,19,3.7,B2,10
50,51,3.590909090909091,C1,22
50,53,3.6,C2,5
50,73,2.2,A,5
51,19,1.8571428571428572,A,7
51,50,3.590909090909091,C1,22
51,53,1.8181818181818181,A,11
51,54,2.1666666666666665,B2,6
51,55,2.0,A,7
51,58,1.4,A,5
51,61,2.0,A,5
51,86,1.4,A,5
51,240,3.4285714285714284,C1,7
52,49,3.2222222222222223,C1,9
52,53,3.0,B2,7
52,54,3.0,B2,6
52,55,3.1666666666666665,B1,6
53,22,3.0,B1,5
53,27,3.0,B2,5
53,51,1.8181818181818181,A,11
53,52,3.0,B2,6
53,54,2.625,B2,8
53,55,3.3333333333333335,B2,9
53,56,3.375,C1,8
53,58,4.0,C2,12
